city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount
1,240,3,3,4,0,acept,furnished,8000
0,64,2,1,1,10,acept,not furnished,820
1,443,5,5,4,3,acept,furnished,7000
1,73,2,2,1,12,acept,not furnished,1250
1,19,1,1,0,0,not acept,not furnished,1200
1,13,1,1,0,2,acept,not furnished,2200
1,55,1,1,1,2,acept,furnished,5000
1,55,2,2,1,2,acept,not furnished,1300
1,82,3,1,1,3,acept,furnished,2000
1,32,1,1,1,16,acept,not furnished,2900
0,60,1,1,0,6,acept,not furnished,720
0,64,1,2,1,4,acept,furnished,1550
1,20,1,1,0,4,acept,furnished,1800
1,375,4,5,5,1,acept,not furnished,15000
1,92,2,1,1,7,not acept,furnished,3950
0,56,2,1,1,1,acept,not furnished,950
0,188,2,3,8,0,acept,not furnished,3010
1,100,3,2,1,0,acept,not furnished,3500
1,192,3,3,2,13,acept,not furnished,7800
1,93,3,2,1,10,acept,not furnished,3500
1,155,3,3,2,0,acept,not furnished,2650
1,80,2,2,0,9,not acept,not furnished,2550
1,65,2,2,2,14,not acept,not furnished,3500
1,320,3,3,4,0,acept,not furnished,9000
1,180,3,5,3,3,acept,not furnished,8100
1,31,1,1,1,4,acept,not furnished,3200
1,105,4,2,2,3,acept,not furnished,6500
1,300,3,4,2,9,acept,furnished,14000
0,150,3,2,2,13,acept,not furnished,1800
1,130,3,3,2,0,acept,not furnished,6000
1,70,2,1,0,1,acept,not furnished,3000
1,120,3,1,4,0,acept,not furnished,3500
1,250,3,4,2,0,acept,not furnished,3480
1,50,1,1,0,1,acept,not furnished,1550
1,240,3,3,3,3,acept,not furnished,3800
1,250,4,4,2,0,not acept,not furnished,6600
0,94,3,3,2,1,acept,not furnished,2200
1,176,3,4,3,4,acept,not furnished,6500
1,180,3,4,5,0,acept,not furnished,3300
1,191,3,3,4,1,acept,furnished,15000
1,25,1,1,0,14,acept,not furnished,1698
1,800,4,5,4,9,acept,not furnished,15000
1,340,3,4,3,0,acept,furnished,9800
1,90,2,1,0,0,not acept,not furnished,1450
0,650,5,4,8,0,acept,furnished,8500
1,100,2,2,0,1,acept,not furnished,2700
1,230,4,4,4,1,acept,furnished,13500
1,190,2,3,2,0,acept,not furnished,13050
1,205,4,4,6,5,acept,not furnished,2720
1,96,3,3,2,8,acept,not furnished,1790
1,396,4,4,4,0,acept,not furnished,10000
0,74,3,2,1,7,acept,not furnished,1600
0,30,1,1,0,5,not acept,furnished,500
1,64,3,2,1,7,acept,not furnished,1400
1,105,3,2,2,1,acept,furnished,7800
1,50,1,2,1,10,acept,furnished,5900
1,60,2,1,0,3,not acept,not furnished,1300
1,50,2,1,1,6,acept,furnished,2000
1,90,2,2,0,0,acept,not furnished,1700
1,130,3,2,1,8,not acept,furnished,7500
1,20,1,1,0,1,not acept,furnished,1950
1,400,4,3,2,0,acept,not furnished,5650
1,220,3,3,5,0,acept,not furnished,7500
1,750,7,6,5,0,acept,furnished,5800
1,20,1,1,0,0,acept,furnished,1800
0,140,3,2,2,15,not acept,not furnished,2100
1,22,1,1,0,0,not acept,not furnished,1080
1,345,2,3,2,4,not acept,not furnished,12000
0,46,2,1,1,3,not acept,not furnished,1100
1,35,1,1,1,2,not acept,furnished,3250
0,72,2,2,1,2,acept,not furnished,1200
1,60,1,1,2,2,not acept,not furnished,1900
1,180,3,2,4,0,not acept,furnished,11000
1,83,3,2,1,9,not acept,furnished,3300
1,50,1,1,0,1,acept,not furnished,1550
1,38,1,1,1,14,not acept,furnished,3020
1,140,3,3,2,2,acept,not furnished,2800
0,62,2,1,1,3,acept,not furnished,980
1,70,1,1,0,2,acept,furnished,4000
0,55,1,1,0,14,acept,not furnished,1100
0,60,2,1,1,1,not acept,not furnished,815
1,85,2,2,1,6,acept,not furnished,1738
1,134,3,3,3,11,not acept,not furnished,8000
1,200,3,2,2,19,acept,not furnished,10000
1,170,3,2,2,0,acept,furnished,3900
1,46,1,1,2,16,acept,furnished,6220
1,20,1,1,0,4,acept,furnished,1800
1,58,2,2,1,5,not acept,furnished,4500
1,96,3,2,3,4,acept,not furnished,2350
1,190,3,3,3,6,acept,not furnished,13000
1,87,3,2,4,14,acept,not furnished,2000
1,42,1,1,0,5,acept,not furnished,2400
1,145,3,3,1,10,acept,furnished,11000
1,250,4,6,4,12,not acept,not furnished,14500
1,90,2,1,1,1,acept,not furnished,3000
1,250,6,2,2,0,acept,not furnished,2472
1,500,3,4,5,0,acept,furnished,7620
1,80,2,2,2,6,acept,furnished,8800
0,120,3,2,3,0,acept,not furnished,2500
0,265,3,3,2,0,acept,not furnished,2400
0,50,2,1,1,4,acept,not furnished,1080
0,126,3,3,2,1,acept,not furnished,3800
0,55,2,1,1,1,acept,not furnished,720
1,29,1,1,1,20,acept,furnished,2700
1,59,2,1,1,24,acept,not furnished,2450
1,200,2,4,4,4,acept,not furnished,7800
1,74,3,2,1,7,acept,not furnished,2196
1,290,4,5,2,6,acept,not furnished,10000
1,172,3,4,3,1,acept,not furnished,8000
1,25,1,1,0,5,not acept,furnished,2600
1,50,1,1,1,0,acept,not furnished,1100
1,40,1,1,0,3,acept,not furnished,1100
1,80,2,2,2,0,acept,not furnished,2465
1,280,6,6,3,0,acept,not furnished,5000
1,60,1,1,1,12,acept,furnished,4723
1,115,2,3,2,8,acept,not furnished,12000
1,540,3,3,4,9,acept,not furnished,15000
1,76,2,1,1,12,not acept,furnished,4250
0,150,4,5,2,1,acept,not furnished,2980
1,130,3,2,1,8,acept,not furnished,5500
0,64,2,1,1,0,acept,not furnished,730
1,55,2,2,1,2,acept,not furnished,1300
